code,name,credits,meta
OCE353,Lean Concepts Tools and Practices,3,21$CB$6^7^8
OBT352,Basics of Microbial Technology,3,21$CB$6^7^8
OBT353,Basics of Biomolecules,3,21$CB$6^7^8
OBT354,Fundamentals of Cell and Molecular Biology,3,21$CB$6^7^8
OHS352,Project Report Writing,3,21$CB$6^7^8
OMA355,Advanced Numerical Methods,3,21$CB$6^7^8
OMA356,Random Processes,3,21$CB$6^7^8
OMA357,Queuing and Reliability Modelling,3,21$CB$6^7^8
OMG354,Production and Operations Management for Entrepreneurs,3,21$CB$6^7^8
OMG355,Multivariate Data Analysis,3,21$CB$6^7^8
OME352,Additive Manufacturing,3,21$CB$6^7^8
CME343,New Product Development,3,21$CB$6^7^8
OME355,Industrial Design and Rapid Prototyping Techniques,3,21$CB$6^7^8
MF3010,Micro and Precision Engineering,3,21$CB$6^7^8
OMF354,Cost Management of Engineering Projects,3,21$CB$6^7^8
AU3002,Batteries and Management System,3,21$CB$6^7^8
AU3008,Sensors and Actuators,3,21$CB$6^7^8
OAS353,Space Vehicles,3,21$CB$6^7^8
OIM352,Management Science,3,21$CB$6^7^8
OIM353,Production Planning and Control,3,21$CB$6^7^8
OIE353,Operations Management,3,21$CB$6^7^8
OSF352,Industrial Hygiene,3,21$CB$6^7^8
OSF353,Chemical Process Safety,3,21$CB$6^7^8
OML352,Electrical Electronic and Magnetic Materials,3,21$CB$6^7^8
OML353,Nanomaterials and Applications,3,21$CB$6^7^8
OMR352,Hydraulics and Pneumatics,3,21$CB$6^7^8
OMR353,Sensors,3,21$CB$6^7^8
ORA352,Concepts in Mobile Robots,3,21$CB$6^7^8
MV3501,Marine Propulsion,3,21$CB$6^7^8
OMV351,Marine Merchant Vessels,3,21$CB$6^7^8
OMV352,Elements of Marine Engineering,3,21$CB$6^7^8
CRA332,Drone Technologies,3,21$CB$6^7^8
OGI352,Geographical Information System,3,21$CB$6^7^8
OAI352,Agriculture Entrepreneurship Development,3,21$CB$6^7^8
OEN352,Biodiversity Conservation,3,21$CB$6^7^8
OEE353,Introduction to Control Systems,3,21$CB$6^7^8
OEI354,Introduction to Industrial Automation Systems,3,21$CB$6^7^8
OCH353,Energy Technology,3,21$CB$6^7^8
OCH354,Surface Science,3,21$CB$6^7^8
OFD354,Fundamentals of Food Engineering,3,21$CB$6^7^8
OFD355,Food Safety and Quality Regulations,3,21$CB$6^7^8
OPY353,Nutraceuticals,3,21$CB$6^7^8
OTT354,Basics of Dyeing and Printing,3,21$CB$6^7^8
FT3201,Fibre Science,3,21$CB$6^7^8
OTT355,Garment Manufacturing Technology,3,21$CB$6^7^8
OPE353,Industrial Safety,3,21$CB$6^7^8
OPE354,Unit Operations in Petro Chemical Industries,3,21$CB$6^7^8
OPT352,Plastic Materials for Engineers,3,21$CB$6^7^8
OPT353,Properties and Testing of Plastics,3,21$CB$6^7^8
OEC353,VLSI Design,3,21$CB$6^7^8
CBM370,Wearable Devices,3,21$CB$6^7^8
CBM356,Medical Informatics,3,21$CB$6^7^8
OCE354,Basics of Integrated Water Resources Management,3,21$CB$6^7^8
OBT355,Biotechnology for Waste Management,3,21$CB$6^7^8
OBT356,Lifestyle Diseases,3,21$CB$6^7^8
OBT357,Biotechnology in Health Care,3,21$CB$6^7^8
CMG331,Financial Management,3,21$CB$6^7^8
CMG332,Fundamentals of Investment,3,21$CB$6^7^8
CMG333,Banking Financial Services and Insurance,3,21$CB$6^7^8
CMG334,Introduction to Blockchain and its Applications,3,21$CB$6^7^8
CMG335,Fintech Personal Finance and Payments,3,21$CB$6^7^8
CMG336,Introduction to Fintech,3,21$CB$6^7^8
CMG337,Foundations of Entrepreneurship,3,21$CB$6^7^8
CMG338,Team Building and Leadership Management for Business,3,21$CB$6^7^8
CMG339,Creativity and Innovation in Entrepreneurship,3,21$CB$6^7^8
CMG340,Principles of Marketing Management for Business,3,21$CB$6^7^8
CMG342,Financing New Business Ventures,3,21$CB$6^7^8
CMG343,Principles of Public Administration,3,21$CB$6^7^8
CMG344,Constitution of India,3,21$CB$6^7^8
CMG345,Public Personnel Administration,3,21$CB$6^7^8
CMG346,Administrative Theories,3,21$CB$6^7^8
CMG347,Indian Administrative System,3,21$CB$6^7^8
CMG348,Public Policy Administration,3,21$CB$6^7^8
CMG349,Statistics for Management,3,21$CB$6^7^8
CMG350,Datamining for Business Intelligence,3,21$CB$6^7^8
CMG351,Human Resource Analytics,3,21$CB$6^7^8
CMG352,Marketing and Social Media Web Analytics,3,21$CB$6^7^8
CMG353,Operation and Supply Chain Analytics,3,21$CB$6^7^8
CES331,Sustainable Infrastructure Development,3,21$CB$6^7^8
CES332,Sustainable Agriculture and Environmental Management,3,21$CB$6^7^8
CES333,Sustainable Bio Materials,3,21$CB$6^7^8
CES334,Materials for Energy Sustainability,3,21$CB$6^7^8
CES335,Green Technology,3,21$CB$6^7^8
CES336,Environmental Quality Monitoring and Analysis,3,21$CB$6^7^8
CES337,Integrated Energy Planning for Sustainable Development,3,21$CB$6^7^8
CES338,Energy Efficiency for Sustainable Development,3,21$CB$6^7^8
